question_text,qview,type,num_list,label,tab,options,units,notes,nconditions,c1_logic,c1_type,c1_values,c1_labels,c1_texts,c1_rows,cond_2,cond_2_type,cond_2_values,cond_2_labels,cond_2_texts
What was the average amount borrowed each time? ,table_lend,slider,0,lend_amount,lending,"100,z10000,z100,x1,z,30,z1","Rupees,xLakhs",,0,,,,,,,,,,,
In total (NOT ONLY 12 months) what is the amount owed to these people?,table_lend,slider,0,lend_total,lending,"100,z10000,z100,x1,z,30,z1","Rupees,xLakhs",,0,,,,,,,,,,,
Please rate your general health state (on a scale of 1 to 10),single,slider,0,general_health,general,"0,x10,x1,xVery sick,xExcellent health",,,0,,,,,,,,,,,
Did you have enough to eat in the last 12 months?,single,choice,0,eat,general,"Yes,xNo",,,0,,,,,,,,,,,
Did all members of your household have enough to eat in the last 12 months?,single,choice,0,eat_household,general,"Yes,xNo",,,0,,,,,,,,,,,
Has your household faced any income shocks in the last 12 months?,single,choice,0,income_shock,general,"Yes,xNo",,,1,equal,applicable,Yes,"income_shock_describe,xincome_shock_cost",,,,,,,
Please describe it.,single,text,0,income_shock_describe,general,,,,0,,,,,,,,,,,
How much did it cost your household to address this shock (both in magnitude of lost income and the steps taken to address it),single,slider,0,income_shock_cost,general,"500,z10000,z500,x1,z50,z1","Rupees,xLakhs",,0,,,,,,,,,,,
Has your household faced any health shocks in the last 12 months?,single,choice,0,health_shock,general,"Yes,xNo",,,1,equal,applicable,Yes,"health_shock_describe,xhealth_shock_cost",,,,,,,
How much did you spend to address this?,single,slider,0,health_shock_describe,general,"500,z10000,z500,x1,z50,z1","Rupees,xLakhs",,0,,,,,,,,,,,
Did your household face any agricultural shocks in the last 12 months?,single,choice,0,agricultural_shock,general,"Yes,xNo",,,1,equal,applicable,Yes,"agriculture_shock_describe,xagriculture_shock_cost",,,,,,,
Please select the options that best describe the situation,single,check,0,agricultural_shock_describe,general,"Drought,xFlood,xGermination failure,xDelayed monsoon,xIrregular rainfall,xPest and disease,xPost-harvest losses,xLow market prices,xCrop theft,xCrop destruction by animals",,,0,,,,,,,,,,,
How much did it cost you (either to address the shock or in lost income)?,single,slider,0,agricultural_shock_cost,general,"500,z10000,z500,x1,z50,z1","Rupees,xLakhs",,0,,,,,,,,,,,
How do you see yourself: are you generally a person who is fully prepared to take risks or do you try to avoid taking risks in general?,single,slider,0,risk_general,general,"0,x10,x1,xnot at all willing to take risks,xvery willing to take risks",,,0,,,,,,,,,,,
Please rate how willing you are to take risks with regard to your health.,single,slider,0,risk_health,general,"0,x10,x1,xnot at all willing to take risks,xvery willing to take risks",,,0,,,,,,,,,,,
Please rate how willing you are to take agricultural risks.,single,slider,0,risk_agricultural,general,"0,x10,x1,xnot at all willing to take risks,xvery willing to take risks",,,0,,,,,,,,,,,
When do you believe the rains will come this year?,single,dropdown,0,rains_time,general,"middle of June,xend of June,xbeginning of July,xmiddle of July,xend of July,xbeginning of August,xmiddle of August,xend of August",,,0,,,,,,,,,,,
"Do you believe they will be scanty, little, or plentiful?",single,choice,0,rains_plentiful,general,"scanty,xlittle,xplentiful",,,0,,,,,,,,,,,
Do you believe in heaven?,single,choice,0,heaven,general,"Yes,xNo",,,0,,,,,,,,,,,
Do you believe in hell?,single,choice,0,hell,general,"Yes,xNo",,,0,,,,,,,,,,,
Do you believe in God?,single,choice,0,believe_god,general,"Yes,xNo",,,0,,,,,,,,,,,
Do you smoke?,single,choice,0,smoke,general,"Yes,xNo",,,0,,,,,,,,,,,
Do you drink?,single,choice,0,drink,general,"Yes,xNo",,,0,,,,,,,,,,,
How many insurance policies of each type does your household own?,single,check,1,insurance,insurance,"Yeshavini Health Insurance,xSuvarna arogya Chaitanya Programme,xPrivate health insurance,xJeevan Jyothi Birma Yojana,xSuruksha Birma Yojana,x Other accident insurances,xCrop,xVehicle,xAnimal",,Animal includes cows and buffalos.,1,equal,table,"Yeshavini Health Insurance,xSuvarna arogya Chaitanya Programme,xPrivate health insurance,xJeevan Jyothi Birma Yojana,xSuruksha Birma Yojana,x ,xAccident,xCrop,xVehicle,xAnimal",table_insurance,,,,,,,
Which month did you first purchase this insurance?,table_insurance,dropdown,0,insurance_month,insurance,"01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12",,,0,,,,,,,,,,,
Which year did you first purchase this insurance?,table_insurance,dropdown,0,insurance_year,insurance,"1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015",,,0,,,,,,,,,,,
What is the frequency of your payments?,table_insurance,dropdown,0,insurance_frequency,insurance,"single payment,xdaily,xweekly,xfortnightly,xmonthly,xquarterly,xevery 6 months,xyearly",,,0,,,,,,,,,,,
How much do you pay as your premium?,table_insurance,slider,0,insurance_amount,insurance,"0,z10000,z10,x1,z5,z0.5","Rupees,xLakhs",,0,,,,,,,,,,,
Which month will you have to renew the insurance?,table_insurance,dropdown,0,insurance_renew_month,insurance,"01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12",,,0,,,,,,,,,,,
Frequency of renewal,table_insurance,dropdown,0,insurance_renew,insurance,"yearly,xonce in three years,xonce in five years",,,0,,,,,,,,,,,
Month payout received,table_payout,dropdown,0,insurance_payout_date,insurance,"01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12",,,0,,,,,,,,,,,
Year payout received,table_payout,dropdown,0,insurance_payout_month,insurance,"1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015",,,0,,,,,,,,,,,
Amount claimed,table_payout,slider,0,insurance_payout_claim,insurance,"100,z100000,z100,x1,z30,z0.5","Rupees,xLakhs",,0,,,,,,,,,,,
Amount received,table_payout,slider,0,insurance_payout_received,insurance,"100,z100000,z100,x1,z30,z0.5","Rupees,xLakhs",,0,,,,,,,,,,,
Time between claim and settlements,table_payout,dropdown,0,insurance_payout_delay,insurance,"immediately,x1 week,x2weeks,x1 month,x2 months,x3 months,x4 months,x5 months,x6 monhts,xmore than 6 monhts",,,0,,,,,,,,,,,
Are you satisfied with the product?,table_payout,choice,0,insurance_payout_satisfaction,insurance,"satisfied,xdissatisfied but no other options,xplanning to switch insurers",,,0,,,,,,,,,,,
Please check all the education schemes your household has benefited from in the last 12 months,single,check,0,education_transfers,transfers in,"Free bicycle,xFree uniforms and schoolbags,xScholarship,xMid-day meal,xHealth tablets",,,0,,,,,,,,,,,
Please estimate the total cash value of all these schemes,single,slider,0,education_value,transfers in,"10,z100000,z10,x1,z20,z0.25","Rupees,xLakhs",,0,,,,,,,,,,,
Please check all the employment schemes your household has benefited from in the last 12 months,single,check,0,employment_transfers,transfers in,"Navachetama scheme,xRTO office scheme for professional driving,xSocial welfare dept. driving scheme,xCoaching and allied scheme for examinations",,,0,,,,,,,,,,,
Please estimate the total cash value of all these schemes,single,slider,0,employment_value,transfers in,"10,z100000,z10,x1,z20,z0.25","Rupees,xLakhs",,0,,,,,,,,,,,
Does the family member expect to receive the value of this transfer back?,table_assistance_out,choice,0,assistance_out_payback,transfers out,"Yes,xNo",,,0,,,,,,,,,,,
Does the family member expect to receive interest?,table_assistance_out,choice,0,assistance_out_interest,transfers out,"Yes,xNo",,,0,,,,,,,,,,,
Please consider the members of your household listed below. Have any members left the household?,single,check,0,members_left,members,members,,,1,equal,table,members,table_members_left,,,,,,,
What was the reason for leaving?,table_members_left,dropdown,0,members_left_reason,members,"Death,xEducation,xWork,xMarriage,xOther",,,0,,,,,,,,,,,
Please select the number of new members in your household.,single,check,1,members_new,members,New member,,,1,equal,table,New member,table_members_new,,,,,,,
What is this person's name?,table_members_new,entry,0,members_new_name,members,,,,0,,,,,,,,,,,
What is this person's relationship to the head of household?,table_members_new,dropdown,0,members_new_relation,members,"Father/Mother,xSon/Daughter,xGrandparent,xNephew/Neice,xHusband/Wife,xUncle/Aunt,xGrandchild,xSister/Brother,xLodger,xOther",,,0,,,,,,,,,,,
What is the gender of this person?,table_members_new,dropdown,0,members_new_gender,members,"Male,xFemale",,,0,,,,,,,,,,,
